ClauseNum	Clause	p/n	class
0	( b;d;( d;d );	positive	0
1	Effective;Date;Agreement shall;the Effective;Effective Date;on;Date and;on the;	negative	0
2	( b;d;( d;d );	positive	0
3	Effective;Date;the Effective;Effective Date;on;continue;Date and;on the;	negative	0
4	procedures;	positive	0
5	Effective;Date;the Effective;Effective Date;on the;commence;and shall;shall commence;commence on;	negative	0
6	access;	positive	0
7	may;terminated;earlier;earlier terminated;	negative	0
8	Agreement;this Agreement;in the;	positive	0
9	its;terminated;that;	negative	0
10	Agreement;this Agreement;extent;	positive	0
11	This;terminated;This Agreement;Effective;Date;Effective Date;provided;	negative	0
12	CAD;promote the;Continuity;	positive	0
13	terminated;Effective;Date;Agreement shall;the Effective;Effective Date;Date and;on the;commence;shall commence;commence on;	negative	0
14	development and;, products;of AMAG;	positive	0
15	This;terminated;term;. This;term of;	negative	0
16	18.1;design;delivered;Dragon Systems;CytoDyn;determines to;any Payment;for all;laws .;identifiable;health and;executed and;Settlement Date;o;pages;sent to;bonus;contracts for;headquarters;. 6.4;and SpinCo;workers;of use;L.;transportation ,;- Supplied;fit;Update;the invoice;reasonable opinion;, war;Manufacturer ,;change the;Manufacturer to;Group or;5.6;Pool Stock;and our;to Airspan;conveyed;keep and;crude;	positive	0
17	its;This;terminated;This Agreement;. This;Agreement shall;	negative	0
18	Original;solely;or trademark;arising prior;as between;, N.A.;more frequently;As between;Detection;Trademarks and;Marketing Fund;	positive	0
19	Effective;Date;the Effective;Effective Date;on;Date and;on the;commence;shall commence;commence on;	negative	0
20	( b;d;( d;d );	positive	0
21	its;terminated;Agreement shall;continue;earlier;shall continue;	negative	0
22	Agreement;this Agreement;in the;	positive	0
23	This;terminated;This Agreement;Effective;Date;Agreement shall;the Effective;Effective Date;	negative	0
