Example|Class|Clause|Cl.Val|Example_BoW|ClassName|ClauseText|CorrectLabel
4|0|4|1|". , any its Agreement the of or 1 ) shall but majority is - pursuant and [PAD] for the majority of pursuant to a Party [PAD] [PAD] that such term have effect Source / Section forth in the set forth Applicable provided full until that are to Section , as from "" written , and the term ) . "" Agreement . 1 or other or its shall not or otherwise , for in effect Product K - K K , , but Affiliate Affiliates time to its Affiliates necessary longer necessary to meaning connection in connection connection with Year operating and , , 8 8 - power such Party Fee mean shall mean Plan a majority Business the Product term "" procedures and standard operating procedures to by corresponding Review updated time as but is Calendar Compliance 2.5 Marketing the Marketing entities subsidiaries restrictions a corporation governing Calendar Year Conduct partial elect ordinary the ordinary contract or Supplemental Section 2.5 managing preamble the preamble voting power"|0.0|procedures;|GoldPredicted
5|0|4|1|". , any may this Agreement the of or ( ) all shall and order this Agreement or any thereof , may be a Party that such have Section For forth Agreement . set forth Applicable Term that are , as , or from including "" applicable ( including other than , and ) . day Service Term , the Term or other deemed be deemed Regulatory Product portion , shall any portion time to contemplated meaning Party "" connection in connection connection with Year operating applicable to to a activities such Party Law same the same amendments mean shall mean amended Business Day Business Day court the Product by this thereto procedures and standard operating procedures to by permit references to rule successors contemplated by authority or Calendar , judgment or services court , 3.6 Applicable Law administrative than a , regulation Expense injunction or , agency Approvals Calendar Year Conduct performed under amendments , ordinance the amounts or permit same may Regulatory Approvals , order any payments decree department other public arbitral holiday any Applicable"|0.0|procedures;|GoldPredicted
11|0|0|1|". , any may its the of or ( ) shall - and [PAD] or any thereof , [PAD] [PAD] have Source Section Effective Date forth in the as of the Effective Effective Date Date . set forth on b ( a a ) , ( ( b b ) ) the , as "" , and ) . or its ) any use Product K d - K K , ( d d ) ( e Affiliates its Affiliates 4 . 4 meaning through used connection in connection connection with modifications , 8 8 - mean US shall mean amended the Product owned thereto for use as amended Food controlled Trademarks controlled by used in Transfer with or intended registration Drug Cosmetic Food , , Drug and Cosmetic Cosmetic Act modifications or rights , listed the Trademarks use in listed on Excluded pending or or controlled unregistered"|0.0|( b;d;( d;d );|GoldPredicted
11|0|2|1|". , any may its the of or ( ) shall - and [PAD] or any thereof , [PAD] [PAD] have Source Section Effective Date forth in the as of the Effective Effective Date Date . set forth on b ( a a ) , ( ( b b ) ) the , as "" , and ) . or its ) any use Product K d - K K , ( d d ) ( e Affiliates its Affiliates 4 . 4 meaning through used connection in connection connection with modifications , 8 8 - mean US shall mean amended the Product owned thereto for use as amended Food controlled Trademarks controlled by used in Transfer with or intended registration Drug Cosmetic Food , , Drug and Cosmetic Cosmetic Act modifications or rights , listed the Trademarks use in listed on Excluded pending or or controlled unregistered"|0.0|( b;d;( d;d );|GoldPredicted
11|0|20|1|". , any may its the of or ( ) shall - and [PAD] or any thereof , [PAD] [PAD] have Source Section Effective Date forth in the as of the Effective Effective Date Date . set forth on b ( a a ) , ( ( b b ) ) the , as "" , and ) . or its ) any use Product K d - K K , ( d d ) ( e Affiliates its Affiliates 4 . 4 meaning through used connection in connection connection with modifications , 8 8 - mean US shall mean amended the Product owned thereto for use as amended Food controlled Trademarks controlled by used in Transfer with or intended registration Drug Cosmetic Food , , Drug and Cosmetic Cosmetic Act modifications or rights , listed the Trademarks use in listed on Excluded pending or or controlled unregistered"|0.0|( b;d;( d;d );|GoldPredicted
11|1|3|1|". , any may its the of or ( ) shall - and [PAD] or any thereof , [PAD] [PAD] have Source Section Effective Date forth in the as of the Effective Effective Date Date . set forth on b ( a a ) , ( ( b b ) ) the , as "" , and ) . or its ) any use Product K d - K K , ( d d ) ( e Affiliates its Affiliates 4 . 4 meaning through used connection in connection connection with modifications , 8 8 - mean US shall mean amended the Product owned thereto for use as amended Food controlled Trademarks controlled by used in Transfer with or intended registration Drug Cosmetic Food , , Drug and Cosmetic Cosmetic Act modifications or rights , listed the Trademarks use in listed on Excluded pending or or controlled unregistered"|1.0|d;( d;d );|
12|0|0|1|". , any the Period or ( ) shall - and have Section forth set forth b ( a a ) ( b b ) , as , or "" , and ) . party party . ) any entitled , shall federal d regulatory ( d d ) ( e meaning ; ( Period "" power Fee mean shall mean amended court owned thereto as amended Governmental Food controlled "" to the rules governmental judicial principles authority or level executive arbitrator tribunal court , or governmental Drug Cosmetic promulgated First Food , , Drug and Cosmetic Cosmetic Act ( g GAAP ( f administrative , agency applied . consistently accounting principles consistently applied , federal department generally accepted accepted accounting Supplemental bureau arbitral or controlled Governmental Authority , judicial or power , local Finance "" GAAP GAAP """|0.0|( b;d;( d;d );|GoldPredicted
12|0|2|1|". , any the Period or ( ) shall - and have Section forth set forth b ( a a ) ( b b ) , as , or "" , and ) . party party . ) any entitled , shall federal d regulatory ( d d ) ( e meaning ; ( Period "" power Fee mean shall mean amended court owned thereto as amended Governmental Food controlled "" to the rules governmental judicial principles authority or level executive arbitrator tribunal court , or governmental Drug Cosmetic promulgated First Food , , Drug and Cosmetic Cosmetic Act ( g GAAP ( f administrative , agency applied . consistently accounting principles consistently applied , federal department generally accepted accepted accounting Supplemental bureau arbitral or controlled Governmental Authority , judicial or power , local Finance "" GAAP GAAP """|0.0|( b;d;( d;d );|GoldPredicted
12|0|20|1|". , any the Period or ( ) shall - and have Section forth set forth b ( a a ) ( b b ) , as , or "" , and ) . party party . ) any entitled , shall federal d regulatory ( d d ) ( e meaning ; ( Period "" power Fee mean shall mean amended court owned thereto as amended Governmental Food controlled "" to the rules governmental judicial principles authority or level executive arbitrator tribunal court , or governmental Drug Cosmetic promulgated First Food , , Drug and Cosmetic Cosmetic Act ( g GAAP ( f administrative , agency applied . consistently accounting principles consistently applied , federal department generally accepted accepted accounting Supplemental bureau arbitral or controlled Governmental Authority , judicial or power , local Finance "" GAAP GAAP """|0.0|( b;d;( d;d );|GoldPredicted
12|1|3|1|". , any the Period or ( ) shall - and have Section forth set forth b ( a a ) ( b b ) , as , or "" , and ) . party party . ) any entitled , shall federal d regulatory ( d d ) ( e meaning ; ( Period "" power Fee mean shall mean amended court owned thereto as amended Governmental Food controlled "" to the rules governmental judicial principles authority or level executive arbitrator tribunal court , or governmental Drug Cosmetic promulgated First Food , , Drug and Cosmetic Cosmetic Act ( g GAAP ( f administrative , agency applied . consistently accounting principles consistently applied , federal department generally accepted accepted accounting Supplemental bureau arbitral or controlled Governmental Authority , judicial or power , local Finance "" GAAP GAAP """|1.0|d;( d;d );|
13|1|3|1|". , any the of or less one ( ) shall % - and [PAD] Source For on b paid an ( a a ) ( b b ) ) the under the , or 5 "" ) . Service party party , party . ) any out , shall health who d ( d d ) ( e hundred one hundred member ; ( person mean shall mean owned network . controlled value of foregoing . "" to governmental officer Compensation ( g office , holds entity or member of as determined a member 100 100 % Sales . of Sales , government ( 100 providers 5 Source officer , Gross"|1.0|d;( d;d );|
